Año,Cuatrimestre,Materia,Comision,Horario,Profesores,Inscriptos
2010,Primer Cuat.,14.19 - Actualización Tecnológica sobre Competitividad (Seminario - 15/03/2010 - 09/04/2010),A,Lunes 19:00 - 22:00 Aula externa: 120,"['Bereciartua', ' Pablo']",11 / 15
2010,Primer Cuat.,94.27 - Administración de Recursos Humanos,A,Jueves 16:00 - 19:00 Aula externa: 126,"['Colomar', ' Maria Soledad\nVentriglia', ' Salvador Luis\nGadow', ' Maria Fabiana']",18 / 25
2010,Primer Cuat.,14.28 - Agronegocios (Seminario - 10/06/2010 - 02/07/2010),A,Jueves 18:00 - 21:00 Aula externa: 135,[''],15 / 12
2010,Primer Cuat.,31.73 - Aire Acondicionado y Refrigeración,M,"Miércoles 16:00 - 19:00 Aula externa: 121
Viernes 17:00 - 20:00 Aula externa: 126","['Zavala', ' Octavio\nBenitez', ' Carlos Roque']",10 / Ilimitado
2010,Primer Cuat.,93.58 - Álgebra,S,"Martes 09:00 - 13:00 Aula externa: 121
Jueves 09:00 - 14:00 Aula externa: 12","['Noni', ' Maria Laura\nMancilla Aguilar', ' Jose Luis']",32 / Ilimitado
2010,Primer Cuat.,93.18 - Álgebra Lineal,A,"Lunes 14:00 - 16:00 Aula externa: 26
Miércoles 14:00 - 16:00 Aula externa: 23
Jueves 14:00 - 16:00 Aula externa: 23","['Peña', ' Nelly Haydee\nCabana', ' Adriana Elena']",28 / 11
2010,Primer Cuat.,93.18 - Álgebra Lineal,B,"Lunes 12:00 - 14:00 Aula externa: 11
Miércoles 08:00 - 10:00 Aula externa: 32
Jueves 12:00 - 14:00 Aula externa: 13","['Blanco Vitorero', ' Maria Patricia\nPeña', ' Nelly Haydee']",30 / 10
2010,Primer Cuat.,93.18 - Álgebra Lineal,C,"Lunes 08:00 - 10:00 Aula externa: 25
Miércoles 10:00 - 12:00 Aula externa: 26
Jueves 11:00 - 11:00 Aula externa: 10","['Staricco', ' Eduardo Pedro\nCabana', ' Adriana Elena']",27 / 10
2010,Primer Cuat.,93.18 - Álgebra Lineal,D,"Lunes 10:00 - 12:00 Aula externa: 26
Miércoles 10:00 - 12:00 Aula externa: 29
Jueves 10:00 - 12:00 Aula externa: 32","['Blanco Vitorero', ' Maria Patricia\nMarti', ' Maria Elisabeth']",32 / 10
2010,Primer Cuat.,93.18 - Álgebra Lineal,E,"Martes 08:00 - 10:00 Aula externa: 8
Jueves 08:00 - 10:00 Aula externa: 29
Viernes 12:00 - 14:00 Aula externa: 29","['Unger', ' Cristina Alicia\nMarti', ' Maria Elisabeth']",30 / 10
2010,Primer Cuat.,93.18 - Álgebra Lineal,F,"Lunes 08:00 - 10:00 Aula externa: 33
Martes 10:00 - 12:00 Aula externa: 26
Viernes 14:00 - 16:00 Aula externa: 32","['Unger', ' Cristina Alicia\nMarti', ' Maria Elisabeth']",33 / 10
2010,Primer Cuat.,93.18 - Álgebra Lineal,K,"Lunes 08:00 - 10:00 Aula externa: 30
Miércoles 12:00 - 14:00 Aula externa: 13
Jueves 08:00 - 10:00 Aula externa: 13","['Staricco', ' Eduardo Pedro\nBlanco Vitorero', ' Maria Patricia']",32 / 10
2010,Primer Cuat.,22.08 - Algoritmos y Estructura de Datos,K,"Miércoles 10:00 - 12:00 Aula externa: 7
Miércoles 18:00 - 20:00 Aula externa: 12
Jueves 14:00 - 16:00 Aula externa: 12","['Ressl', ' Marc S.\nJacoby', ' Daniel Andres\nPerez Moreno', ' Agustin Matias']",21 / Ilimitado
2010,Primer Cuat.,22.05 - Análisis de Señales y Sistemas Digitales,K,"Lunes 15:00 - 18:00 Aula externa: 12
Miércoles 15:00 - 18:00 Aula externa: 12","['Jacoby', ' Daniel Andres\nQuintero Rincon', ' Antonio\nSaint-Nom', ' Haydee Roxana']",30 / Ilimitado
2010,Primer Cuat.,41.16 - Análisis de Transientes de Presión,P,Lunes 18:00 - 21:00 Aula externa: 4003,"['Fonseca', ' Claudio Marcelo\nNajurieta', ' Humberto']",28 / Ilimitado
2010,Primer Cuat.,93.20 - Análisis Matemático,L,"Lunes 08:00 - 10:00 Aula externa: 131
Miércoles 12:00 - 14:00 Aula externa: 7
Jueves 08:00 - 10:00 Aula externa: 131","['Sirczuk', ' Diana Graciela\nFlorit', ' Patricia Teresa\nSuarez', ' Emilio Carlos']",37 / Ilimitado
2010,Primer Cuat.,93.26 - Análisis Matemático I,S,"Martes 14:00 - 16:00 Aula externa: 31
Miércoles 08:00 - 10:00 Aula externa: 7
Viernes 08:00 - 10:00 Aula externa: 12","['Marti', ' Maria Elisabeth\nStaricco', ' Eduardo Pedro']",50 / Ilimitado
2010,Primer Cuat.,93.28 - Análisis Matemático II,S,"Lunes 12:00 - 14:00 Aula externa: 33
Martes 10:00 - 12:00 Aula externa: 13
Jueves 13:00 - 15:00 Aula externa: 8","['Marti', ' Maria Elisabeth\nStaricco', ' Eduardo Pedro']",20 / Ilimitado
2010,Primer Cuat.,81.31 - Análisis y Diseño de Aplicaciones Informáticas,L,"Martes 18:00 - 21:00 Aula externa: 133
Jueves 18:00 - 21:00 Aula externa: 31","['Lucas', ' Ana María\nTejo', ' Jose Luis']",14 / Ilimitado
2010,Primer Cuat.,81.30 - Análisis y Modelado de Procesos de Negocios,L,"Martes 18:00 - 21:00 Aula externa: 120
Jueves 14:30 - 17:30 Aula externa: 121","['Stabile', ' Luis José\nBasavilbaso Leloir', ' Alejandro Juan\nPonte Peruchena', ' Maria Marta\nCunqueiro', ' Martin\nCuadrado', ' Roberto Javier\nSivori', ' Tomás Mariano']",19 / Ilimitado
2010,Primer Cuat.,72.08 - Arquitectura de Computadoras,S,"Lunes 16:00 - 19:00 Aula externa: 142
Miércoles 19:00 - 22:00 Aula externa: LAB INF","['Allocati', ' Martin Gustavo\nVallés', ' Santiago Raúl']",12 / Ilimitado
2010,Primer Cuat.,32.50 - Arquitectura Naval I,N,"Lunes 16:00 - 19:00 Aula externa: Oficina Ing. Molanes
Jueves 18:00 - 21:00 Aula externa: LAB UNIVERSIA","['Molanes', ' Claudio Alejandro']",4 / Ilimitado
2010,Primer Cuat.,81.44 - Arquitectura y Programacion de Sistemas Distribuidos,L,"Lunes 18:30 - 21:30 Aula externa: 132
Jueves 18:30 - 21:30 Aula externa: 133","['Garcia', ' Maximiliano Andres\nParra', ' Fernando*\nBarabas', ' Javier\nBolo', ' Mario Enrique']",34 / Ilimitado
2010,Primer Cuat.,"72.39 - Autómatas, Teoría de Lenguajes y Compiladores",S,"Jueves 16:00 - 19:00 Aula externa: 142
Viernes 16:00 - 19:00 Aula externa: LAB INF","['Santos', ' Juan Miguel\nArias Roig', ' Ana Maria']",27 / Ilimitado
2010,Primer Cuat.,72.37 - Base de Datos I,S,"Martes 18:00 - 21:00 Aula externa: LAB INF
Jueves 15:00 - 18:00 Aula externa: 122","['Yoshizaki', ' Gustavo\nGomez', ' Leticia Irene\nSinger', ' Ezequiel Fernando']",13 / Ilimitado
2010,Primer Cuat.,22.34 - Biología para Ingenieros,K,"Martes 14:00 - 17:00 Aula externa: 116
Viernes 14:00 - 17:00 Aula externa: 23","['Fernández', ' María Laura']",5 / Ilimitado
2010,Primer Cuat.,12.08 - Bioquímica y Microbiología,Q,"Martes 19:00 - 21:00 Aula externa: 30
Miércoles 18:00 - 20:00 Aula externa: 22
Jueves 17:00 - 20:00 Aula externa: LAB QUIM","['Pizarro', ' Ramon Augusto\nMeich', ' Veronica Cecilia\nOppezzo', ' Oscar Juan']",11 / Ilimitado
2010,Primer Cuat.,11.05 - Calidad,A,Miércoles 19:00 - 22:00 Aula externa: 26,"['Montaldo', ' Maria Belen\nSerrudo', ' Daniela Patricia\nGalindez', ' Maria Del Carmen\nPettinaroli', ' Carlos Alberto\nSabuqui', ' Roberto Oscar\nPorcelli', ' Mariana\nBonetto', ' Carlos Alberto\nMilathianakis', ' Eduardo Martin']",35 / 30
2010,Primer Cuat.,11.05 - Calidad,B,Miércoles 19:00 - 22:00 Aula externa: 29,"['Montaldo', ' Maria Belen\nSerrudo', ' Daniela Patricia\nGalindez', ' Maria Del Carmen\nPettinaroli', ' Carlos Alberto\nSabuqui', ' Roberto Oscar\nPorcelli', ' Mariana\nBonetto', ' Carlos Alberto\nMilathianakis', ' Eduardo Martin']",21 / 30
2010,Primer Cuat.,11.09 - Calidad II,A,Lunes 17:00 - 20:00 Aula externa: 141,[''],11 / 10
2010,Primer Cuat.,81.20 - Comercialización,A,"Miércoles 14:00 - 16:00 Aula externa: 142
Miércoles 19:00 - 20:00 Aula externa: LAB C","['Stern', ' Jorge Enrique\nVergara Parra', ' Albano Blas\nMartins', ' Soledad']",23 / 20
2010,Primer Cuat.,81.20 - Comercialización,B,"Miércoles 14:00 - 16:00 Aula externa: 154
Miércoles 19:00 - 20:00 Aula externa: LAB C","['Albarellos', ' Aldo Francisco\nVergara Parra', ' Albano Blas\nMartins', ' Soledad']",17 / 20
